Category,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Notice To Terminate Renewal,Expiration Date,Governing Law,Exclusivity,Post-Termination Services,Exact_Law,Discrepancy,detailed_law
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,"['SUNWAI Technology', 'Distributor', 'iMine Corporation', 'JRVS']",['19th day of July 2018'],7/19/18,[],[],7/19/20,Indiana,[],[],Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.545373260974884}]"
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,"['Distributor', 'Hydraspin and Distributor are sometimes hereinafter referred to individually as a ""Party"" and collectively as the ""Parties.""', 'the ""Subsidiary,"" and collectively with Water Now, ""Hydraspin"")', 'Hydraspin USA, Inc.', 'WATER NOW, INC.', 'BESTEV MANAGEMENT, LLC', 'Water Now']","['12th day of November, 2019']",11-12-2019,"['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']","['Upon expiration of the Initial Term of this Agreement, this Agreement will automatically renew for additional, successive five (5) year periods unless either Party provides the other Party written notice of its desire to terminate at least one hundred twenty (120) days prior to the end of the Initial Term or any renewal.']",11-12-2024,Texas,"[""Hydraspin hereby grants to Distributor an exclusive non-transferable and royalty-free right and license to use Hydraspin's Marks in connection with the advertising, promotion, marketing, distribution and sale of the Products in the Territory in accordance with Hydraspin's standards and instructions"", 'Distributor shall be entitled to advertise, promote, market or<omitted>solicit any Customers that have a business presence outside the Territory, except that Distributor shall not conduct solicitation activities in any outside territory where Hydraspin is bound to an exclusive distributor agreement with a third party, provided that Hydraspin has notified Distributor in writing of its arrangements with the other distributor and of the territory which is subject to exclusivity in favor of the other distributor.', 'If this Agreement is extended beyond the Initial Term, as hereinafter defined, the number of Customer Locations to be secured to maintain exclusivity during the pendency of the Agreement shall be increased to 50 from 25.', ""Hydraspin hereby appoints Distributor, and Distributor hereby accepts appointment, as Hydraspin's exclusive distributor of the Products in the Territory during the term of this Agreement, subject to the terms and conditions of this Agreement, including, but not limited to, the satisfaction of the Performance Benchmarks."", 'Hydraspin certifies, stipulates, and agrees that the Hydraspin will deal exclusively with and through the Distributor in relation to the distribution of the Products in the Territory', 'In the event the Distributor loses exclusivity on a territory due to not meeting Performance Benchmarks, the Distributor shall maintain exclusivity on any and all existing Products that are in the field and operating at them time exclusivity if forfeited.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.54555344581604}]"
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']",['14th day of November 2017'],11/14/17,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']","['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",11/14/18,Michigan,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5248122215270996}]"
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,COLLABORATION & ENDORSEMENT AGREEMENT,"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']","['15th day of June, 2015']",6/15/15,"['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",[],6/15/19,New York,"['Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.', 'During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use Athlete\'s name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows:']","['For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.539776623249054}]"
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,MASTER FRANCHISE AGREEMENT,"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","['20t h day of November, 2018']",11/20/18,[],[],perpetual,New York,"['Except as provided in the next sentence, the license granted herein shall be exclusive.', '""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.', 'Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5414941906929016}]"
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,SERVICES AND HOSTING AGREEMENT,"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']",['3-14-18'],3/14/18,"['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']","['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",3/14/19,California,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5300467014312744}]"
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,e-business Hosting Agreement,"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']",[],12-03-2008,[],[],12-03-2011,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5789570212364197}]"
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,TURN - KEY MANUFACTURING AGREEMENT,"['FLEXTRONICS ISRAEL LTD.', 'INVASIX LTD.', 'Customer', 'Contractor.']",[],04-01-2011,"['This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.']","['This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed.']",04-01-2012,Israel,[],"['In the event of termination of this Agreement or a cancellation of a Purchase Order, and/or discontinuance of a Product, or excess materials created by an Engineering Change, Customer agrees to compensate Contractor for unused material inventory which are affected by such termination, cancellation or discontinuance']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5062841176986694}]"
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,WHOLESALE MARKETING AGREEMENT,"['S2K', 'S2K Financial LLC', 'Distributor', 'ALPS Distributors, Inc.']",['24t h day of August 2018'],8/24/18,[],[],perpetual,Colorado,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5275408625602722}]"
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),"['MediaCo Holding Inc.', 'Programmer', 'Licensee', 'WBLS-WLIB LLC']","['November 25, 2019']",11/25/19,[],[],12/31/22,Indiana,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5745971202850342}]"
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,MARKETING AND RESELLER AGREEMENT,"['Care G. B. Plus Ltd.', 'Todos Medical Ltd.', 'Todos', 'Reseller']",['20t h day of December 2018'],12/20/18,"['Upon completion of the Initial Term, provided that the Reseller has achieved the Annual Milestones, the term of the Agreement shall be automatically renewed for an additional five (5) years.', 'Thereafter, at the end of each renewal term, the Agreement shall renew for an additional two (2) years unless one party provides the other party with prior written notice of non-renewal at least sixty (60) days prior to the expiration of the then-current term.']","['Thereafter, at the end of each renewal term, the Agreement shall renew for an additional two (2) years unless one party provides the other party with prior written notice of non-renewal at least sixty (60) days prior to the expiration of the then-current term.']",12/20/23,Israel,"['Subject to the terms and conditions of this Agreement, Todos hereby grants the Reseller a non-sublicensable, non-transferable, exclusive right to distribute and sell the Products to Customers in the Territory; provided, however, that Reseller may sub-license or transfer its distribution rights to a subsidiary or affiliate of the Reseller.']","['During the term and for a period of three (3) years following the termination or expiration of this Agreement, the Reseller shall maintain complete books of accounts and records consistent with sound business and accounting principles and practices consistently applied.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5416175127029419}]"
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,JOINT SUPPLY AND MARKETING AGREEMENT,"['Vertex Energy Operating, LLC', 'Bunker One (USA) Inc.', 'Vertex', 'Bunker One']","['10t h day of January, 2020']",05-01-2020,"['The term of this JSMA shall commence on May 1, 2020 (the ""Commencement Date"") and ends at April 30, 2029 (the ""Term""), with automatic renewals each for a period of five (5) years (a ""Renewal Term"") unless notice is given pursuant to 5.2.']","['This JSMA will be terminated as of the end of the Term or any Renewal Term, by either Party giving written notice of non-renewal to the other Party no less than 120 prior to the applicable expiry date (the ""Termination Period"").']",4/30/29,Alabama,"['During the Term, neither Vertex nor any affiliate of Vertex may sell any Product to any customers for their use as bunker fuel other than pursuant to the terms of this JSMA.', 'It is agreed that only Bunker One will be marketing this JSMA and the JSMA Output towards various customers, but if a Party receives a Nomination (being a written or oral request by/from a customer to a Party stating delivery place, delivery date and window etc.) or any other communication from a customer regarding the supply of Product (either spot or whole cargo) in the Area, the Party is obliged to forward the Nomination to Bunker One and refer the customer to Bunker One.', 'All sales towards customers for bunker fuel will be carried out exclusively by Bunker One in accordance to the terms set forth herein.', 'All sales towards customers for bunker fuel will be carried out exclusively by Bunker One in accordance to the terms set forth herein. As such all communication with customers shall go via Bunker One unless otherwise is specific written agreed in advance.']",['In the event of a termination in accordance to clause 5.2 it is agreed that both parties agree to unwind and minimize costs and exit the JSMA as soon as practicably possible not exceeding 120 days.'],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5317924618721008}]"
